Garamond 157 Fount (Chars=Capitals) (Style=s)
Case Layout: case_layout/layout32.txt
Wedge: S536-11.25
Wedge Units: [5, 6, 7, 8, 9, 9, 10, 10, 11, 12, 13, 14, 15, 17, 18, 18]
Galley Width: 37 pica (155mm)
Setsize: 11.25
Calc units of set per line: 710.4
Quad: Position: ('H', 15)
Jspace: Position: ('H', 2)

Increase the speed of the punch...
**p30
**d100
Send commands to test all the punches, then advance 400mm (125 linefeeds)
**t4
**f125
|------------------------------o| '0005' ['0005'] Caster Stopping
|-----------o-------------o-----| 'H' ['D', '10']  Width: 12, Used: 615 of 638.4
|------o--o-------o-------------| ' ' ['S', 'H', '2'] Justification Space
|------o--o-------o-------------| ' ' ['S', 'H', '2'] Justification Space
|------o------------------------| '█' ['H', '15'] 
|------o------------------------| '█' ['H', '15'] 
|------------o-----o------------| '0075' ['0075', '3']  Unset: 3.4, Units to 2 j-spaces: -0.3, req_0005"_steps: -6 = round(-0.3 * 12 * 1.537)
|------------o----o------------o| '0005/0075' ['0005', '0075', '2']  Justification: (-6 + 53) / 15 = 3/2
|------o------------------------| '█' ['H', '15'] 
|------o------------------------| '█' ['H', '15'] 
|-----------o-------------o-----| 'H' ['D', '10']  Width: 12, Used: 0 of 638.4
|-----------o-------------o-----| 'H' ['D', '10']  Width: 12, Used: 12 of 638.4
|-----------o-------------o-----| 'H' ['D', '10']  Width: 12, Used: 24 of 638.4
|-----------o-------------o-----| 'H' ['D', '10']  Width: 12, Used: 36 of 638.4
|-----------o-------------o-----| 'H' ['D', '10']  Width: 12, Used: 48 of 638.4
|-----------o-------------o-----| 'H' ['D', '10']  Width: 12, Used: 60 of 638.4
|-----------o-------------o-----| 'H' ['D', '10']  Width: 12, Used: 72 of 638.4
|-----------o-------------o-----| 'H' ['D', '10']  Width: 12, Used: 84 of 638.4
|-----------o-------------o-----| 'H' ['D', '10']  Width: 12, Used: 96 of 638.4
|-----------o-------------o-----| 'H' ['D', '10']  Width: 12, Used: 108 of 638.4
|-----------o-------------o-----| 'H' ['D', '10']  Width: 12, Used: 120 of 638.4
|------o------------------------| '█' ['H', '15']  Width: 18, Used: 132 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 150 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 156 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 162 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 168 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 174 of 638.4
